id,serie_id,import_time,contactsheet_uuid,title,handed_out,finished,too_difficult,unusable,handed_out_for_checking,checked,aangemaakt_op,bewerkt_op
1019,1,2021-09-17 17:28:33,9e95c0ce-e0ec-8705-ef33-73216261a2b7,NL-HlmNHA_1478_05179K00_11,2,2,0,0,1,1,2021-09-17 17:28:33,2021-11-23 17:56:09
1020,1,2021-09-17 17:28:33,40c6279b-37ac-849e-6063-a7100b665175,NL-HlmNHA_1478_05196K00_28,2,2,0,0,1,1,2021-09-17 17:28:33,2021-11-23 17:42:24
1021,1,2021-09-17 17:28:33,786def0f-31af-d9d1-4da6-75a8255d1939,NL-HlmNHA_1478_05238K02_04,2,2,0,0,1,1,2021-09-17 17:28:33,2021-11-23 17:42:41
1022,1,2021-09-17 17:28:34,4cc4a874-428f-2f4a-e872-107f6c16f78b,NL-HlmNHA_1478_05415K00_10,2,2,0,0,1,1,2021-09-17 17:28:34,2021-11-23 17:56:24
1023,1,2021-09-17 17:28:34,492fde80-8990-1031-5773-1c30693aeecc,NL-HlmNHA_1478_05443K00_06,2,2,0,0,1,1,2021-09-17 17:28:34,2021-11-23 17:43:01
1024,1,2021-09-17 17:28:34,510a7827-6cad-54bf-2294-23833d638e4d,NL-HlmNHA_1478_05490K00_04,2,2,0,0,1,1,2021-09-17 17:28:34,2021-11-23 18:01:20
1025,1,2021-09-17 17:28:35,e5646732-238b-2eae-7592-3faf7b43cada,NL-HlmNHA_1478_05613K00_18,2,2,0,0,1,1,2021-09-17 17:28:35,2021-11-23 17:44:03
1026,1,2021-09-17 17:28:35,78778c5d-a29b-8711-8752-45ffba0cb417,NL-HlmNHA_1478_05624K00_07,2,2,0,0,1,1,2021-09-17 17:28:35,2021-11-23 17:44:51
1027,1,2021-09-17 17:28:35,0b2ce7a4-c25e-3ef7-be16-2ce221becd9b,NL-HlmNHA_1478_05624K00_13,2,2,0,0,1,1,2021-09-17 17:28:35,2021-11-23 17:45:53
1028,1,2021-09-17 17:28:35,892f668b-5cc3-9366-f9e1-688d4c5cd9c7,NL-HlmNHA_1478_05802K00_12,2,2,0,0,1,1,2021-09-17 17:28:35,2021-11-23 18:01:41
1029,1,2021-09-17 17:28:35,3534cae0-d1e7-7a64-e827-838b86a2e8d4,NL-HlmNHA_1478_05911K00_04,2,2,0,0,1,1,2021-09-17 17:28:35,2021-11-23 18:02:16
1030,1,2021-09-17 17:28:35,7da9e968-fbe5-fcda-6a42-fd4e732999ba,NL-HlmNHA_1478_05911K00_19,2,2,0,0,1,1,2021-09-17 17:28:35,2021-11-23 17:46:19
1031,1,2021-09-17 17:28:35,3fba8398-ed32-5304-fc65-f32f16fdc5a2,NL-HlmNHA_1478_06012K00_19,2,2,0,0,1,1,2021-09-17 17:28:35,2021-11-23 18:02:29
1032,1,2021-09-17 17:28:35,852d1647-8784-7c9d-ab65-3373a6fdedce,NL-HlmNHA_1478_06140K00_13,2,2,0,0,1,1,2021-09-17 17:28:35,2021-11-23 17:46:43
1033,1,2021-09-17 17:28:36,638f2f14-4ade-8212-8a20-e81ecac8f7de,NL-HlmNHA_1478_06140K00_25,2,2,0,0,1,1,2021-09-17 17:28:36,2021-11-23 18:02:39
1034,1,2021-09-17 17:28:36,c63196d7-52b4-d0a7-bf6a-4e1b29bc21b9,NL-HlmNHA_1478_06243K00_19,2,2,0,0,1,1,2021-09-17 17:28:36,2021-11-23 17:47:07
1035,1,2021-09-17 17:28:36,38b2ddee-080c-f750-b92e-2ce9d0408456,NL-HlmNHA_1478_06323K00_02,2,2,0,0,1,1,2021-09-17 17:28:36,2021-11-23 18:03:19
1036,1,2021-09-17 17:28:36,372ab274-9e7e-2062-566a-e10bfdcf2202,NL-HlmNHA_1478_06323K00_23,2,2,0,0,1,1,2021-09-17 17:28:36,2021-11-23 18:04:00
1037,1,2021-09-17 17:28:36,b5cbe894-ab32-4229-4760-5842edaad5d7,NL-HlmNHA_1478_06368K00_15,2,2,0,0,1,1,2021-09-17 17:28:36,2021-11-23 17:47:50
1038,1,2021-09-17 17:28:36,fd03d8a6-f5ad-dc8a-923b-a09ed2d5b551,NL-HlmNHA_1478_06444K00_04,2,2,0,0,1,1,2021-09-17 17:28:36,2021-11-23 18:05:18
1039,1,2021-09-17 17:28:36,f34eb1cb-ea9e-180c-31e0-136aa0252455,NL-HlmNHA_1478_06529K00_02,2,2,0,0,1,1,2021-09-17 17:28:36,2021-11-23 18:05:40
1040,1,2021-09-17 17:28:37,d8228d6e-ae87-0b51-da16-8083429f3569,NL-HlmNHA_1478_06598K00_09,2,2,0,0,1,1,2021-09-17 17:28:37,2021-11-23 18:05:54
1041,1,2021-09-17 17:28:37,721336f6-4d9b-a578-1e4b-edd5daf23d3a,NL-HlmNHA_1478_06743K02_09,2,2,0,0,1,1,2021-09-17 17:28:37,2021-11-23 18:06:08
